attraction_name,attraction_category,attraction_level,city,province,ticket_price,price_tier,item_idx,soup
798 Yi Shu Qu,Wen_Hua_Yi_Shu,4A,Beijing,Beijing,0.0,Free,0,Wen_Hua_Yi_Shu Wen_Hua_Yi_Shu Wen_Hua_Yi_Shu Beijing Beijing 4A Beijing Free
An Qing Zhen Feng Ta,Historical_Architecture,4A,An_Qing_Shi,Anhui,20.0,Budget,1,Historical_Architecture Historical_Architecture Historical_Architecture An_Qing_Shi An_Qing_Shi 4A Anhui Budget
An Yuan Lu Kuang Gong Ren Yun Dong Ji Nian Guan,Revolutionary_Site,4A,Ping_Xiang_Shi,Jiangxi,0.0,Free,2,Revolutionary_Site Revolutionary_Site Revolutionary_Site Ping_Xiang_Shi Ping_Xiang_Shi 4A Jiangxi Free
Ba Da Ling Chang Cheng,Historical_Culture,5A,Beijing,Beijing,40.0,Budget,3,Historical_Culture Historical_Culture Historical_Culture Beijing Beijing 5A Beijing Budget
Ba Li Gou,Natural_Scenery,4A,Xin_Xiang_Shi,Henan,80.0,MidRange,4,Natural_Scenery Natural_Scenery Natural_Scenery Xin_Xiang_Shi Xin_Xiang_Shi 4A Henan MidRange
Ba Li He,Natural_Scenery,5A,Fu_Yang_Shi,Anhui,90.0,MidRange,5,Natural_Scenery Natural_Scenery Natural_Scenery Fu_Yang_Shi Fu_Yang_Shi 5A Anhui MidRange
Bai Ma Si,Religious_Culture,4A,Luo_Yang_Shi,Henan,35.0,Budget,6,Religious_Culture Religious_Culture Religious_Culture Luo_Yang_Shi Luo_Yang_Shi 4A Henan Budget
Bai Se Qi Yi Ji Nian Guan,Revolutionary_Site,4A,Bai_Se_Shi,Guangxi,0.0,Free,7,Revolutionary_Site Revolutionary_Site Revolutionary_Site Bai_Se_Shi Bai_Se_Shi 4A Guangxi Free
Bai Shan Chang Bai Shan Da Xia Gu,Natural_Scenery,4A,Bai_Shan_Shi,Jilin,125.0,MidRange,8,Natural_Scenery Natural_Scenery Natural_Scenery Bai_Shan_Shi Bai_Shan_Shi 4A Jilin MidRange
Bai Shi Shan,Natural_Scenery,4A,Bao_Ding_Shi,Hebei,135.0,MidRange,9,Natural_Scenery Natural_Scenery Natural_Scenery Bao_Ding_Shi Bao_Ding_Shi 4A Hebei MidRange
Bai Shui Yang,Natural_Scenery,5A,Ning_De_Shi,Fujian,120.0,MidRange,10,Natural_Scenery Natural_Scenery Natural_Scenery Ning_De_Shi Ning_De_Shi 5A Fujian MidRange
Bai Yang Dian,Natural_Scenery,5A,Bao_Ding_Shi,Hebei,185.0,Premium,11,Natural_Scenery Natural_Scenery Natural_Scenery Bao_Ding_Shi Bao_Ding_Shi 5A Hebei Premium
Bai Yun Shan,Natural_Scenery,5A,Guang_Zhou_Shi,Guangdong,38.03370786516854,Budget,12,Natural_Scenery Natural_Scenery Natural_Scenery Guang_Zhou_Shi Guang_Zhou_Shi 5A Guangdong Budget
